YEAR,KID,FID,MID,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,YBIRTH,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
1997,5032,5003,5170,1965,1982,9999,9999,1962,9999,1986,0,0,2400,34325.76857187354,14.29882797072107,1800,17162.88428593677,9.536127581373618,NA,12,12,35,32,FALSE,FALSE,-8002,-8002,1,1984,109,48,122,33,114,41,19,4,4,24.2333333333333,4,13,0.313154406891981,0.060747663551401876,1,1
2002,5032,5003,5170,1965,1982,9999,9999,1962,9999,1986,0,0,2160,30634.54663723752,14.182660480202555,2295,22975.90997792814,10.011289750731216,NA,16,15,40,37,FALSE,FALSE,-7997,-7997,1,1984,105,53,109,35,94,42,26,0,1,0,0,18,0,0,1,1
2007,5032,5003,5170,1965,1982,9999,9999,1962,9999,1986,0,0,2080,25744.42472412995,12.37712727121636,0,0,NA,NA,16.5,15,45,42,FALSE,FALSE,-7992,-7992,1,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,1,1
1997,6034,6006,6172,1955,1977,9999,9999,1955,9999,1986,1,1,2940,257443.26428905156,87.56289026631364,196,10726.80267871048,54.72814726678088,NA,15,10,42,42,FALSE,FALSE,-8002,-8002,1,1984,98,46,122,33,112,42,13,0,0,21,6,13,0.19402985074626866,0.10818307905686547,1,1
2002,6034,6006,6172,1955,1977,9999,9999,1955,9999,1986,1,1,3542,74480.24151178372,21.02773616933476,0,0,NA,NA,16.5,10,47,47,FALSE,FALSE,-7997,-7997,1,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,1,1
2007,6034,6006,6172,1955,1977,9999,9999,1955,9999,1986,1,1,3640,70589.55166293695,19.39273397333437,0,0,NA,NA,18,11,52,52,FALSE,FALSE,-7992,-7992,1,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,1,1
1997,7046,7177,7034,1974,1993,1997,1997,1970,1992,1981,0,0,0,0,NA,0,0,NA,NA,1,0,27,23,TRUE,TRUE,0,0,2,1993,NA,NA,NA,NA,95,6,2,NA,0,NA,NA,4,NA,NA,2,2
2002,7046,7177,7034,1974,1993,1997,1997,1970,1992,1981,0,0,NA,NA,NA,3528,25330.940750665774,7.179971868102544,NA,2.5,1,32,28,TRUE,TRUE,5,5,2,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,2
2007,7046,7177,7034,1974,1993,1997,1997,1970,1992,1981,0,0,2496,26574.89003781156,10.646991201046282,760,NA,NA,NA,7,5,37,33,TRUE,TRUE,10,10,2,1993,91,43,93,26,96,37,10,6,2,0,22.4,14,0,0.35,2,2
1997,7047,7177,7034,1974,1993,1997,1997,1970,1992,1981,0,0,0,0,NA,0,0,NA,NA,1,0,27,23,TRUE,TRUE,0,0,2,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2
